ocel:eid,ocel:activity,ocel:timestamp,p_duration[s],s_co2e[kg],i_electric-from-grid-de[kWh],i_steel-waste-to-recycle[kg],i_gas_input[Wh],i_emission-of-burn[Wh],i_coating-material[kg],i_coating-material-waste[kg],i_compressed-air[m3],i_gas-n2-used[m3],i_gas-n2-emiited-to-air[m3],i_steel-waste[kg],i_cardboard-box[kg]
e_form_1752,FormSteelSheet,2023-04-04 08:35:58+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1755,FormSteelSheet,2023-04-04 08:35:58+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1753,FormSteelSheet,2023-04-04 08:35:59+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1825,SplitSteelSheet,2023-04-04 08:35:59+00:00,13.8276029669,0.0144587838,0.0211255,0.00042,,,,,,,,,
e_heat_1821,HeatSteelSheet,2023-04-04 08:36:01+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1754,FormSteelSheet,2023-04-04 08:36:02+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1757,FormSteelSheet,2023-04-04 08:36:13+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_1822,HeatSteelSheet,2023-04-04 08:36:13+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1826,SplitSteelSheet,2023-04-04 08:36:13+00:00,14.1425997831,0.0147879246,0.0216067,0.00042,,,,,,,,,
e_heat_1823,HeatSteeSheet,2023-04-04 08:36:27+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1827,SplitSteelSheet,2023-04-04 08:36:28+00:00,14.2318333546,0.0148812222,0.0217431,0.00042,,,,,,,,,
e_form_1756,FormSteelSheet,2023-04-04 08:36:31+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1752,CoatPart,2023-04-04 08:36:33+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1755,CoatPart,2023-04-04 08:36:34+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1753,CoatPart,2023-04-04 08:36:34+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1754,CoatPart,2023-04-04 08:36:37+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1824,HeatSteelSheet,2023-04-04 08:36:41+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1828,SplitSteelSheet,2023-04-04 08:36:43+00:00,14.1969267049,0.0148446966,0.0216897,0.00042,,,,,,,,,
e_coat_1757,CoatPart,2023-04-04 08:36:49+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1829,SplitSteelSheet,2023-04-04 08:36:57+00:00,14.590889534,0.0152563962,0.0222916,0.00042,,,,,,,,,
e_heat_1825,HeatSteelSheet,2023-04-04 08:36:58+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1756,CoatPart,2023-04-04 08:37:06+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1826,HeatSteelSheet,2023-04-04 08:37:10+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1830,SplitSteelSheet,2023-04-04 08:37:12+00:00,13.8926759256,0.0145267734,0.0212249,0.00042,,,,,,,,,
e_heat_1827,HeaSteelSheet,2023-04-04 08:37:23+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1831,SplitSteelSheet,2023-04-04 08:37:26+00:00,13.9888303253,0.014627253,0.0213718,0.00042,,,,,,,,,
e_split_1832,SplitSteelSheet,2023-04-04 08:37:40+00:00,14.6664063078,0.0153353298,0.022407,0.00042,,,,,,,,,
e_heat_1828,HeatSteelSheet,2023-04-04 08:37:41+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1761,FormSteelSheet,2023-04-04 08:37:45+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1758,FormSteelSheet,2023-04-04 08:37:50+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1760,FormSteelSheet,2023-04-04 08:37:51+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_1829,HeaSteelSheet,2023-04-04 08:37:52+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1833,SplitSteelSheet,2023-04-04 08:37:54+00:00,14.7613277666,0.0154345098,0.022552,0.00042,,,,,,,,,
e_split_1834,SplitSteelSheet,2023-04-04 08:38:08+00:00,14.0319814558,0.0146723286,0.0214377,0.00042,,,,,,,,,
e_heat_1830,HeatSteelSheet,2023-04-04 08:38:09+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1763,FormSteelSheet,2023-04-04 08:38:11+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1759,FormSteelSheet,2023-04-04 08:38:13+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1765,FormSteelSheet,2023-04-04 08:38:15+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1761,CoatPart,2023-04-04 08:38:20+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_1766,FormSteelSheet,2023-04-04 08:38:20+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1762,FormSteelSheet,2023-04-04 08:38:22+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1835,SplitSteelSheet,2023-04-04 08:38:22+00:00,14.1409896788,0.014786283,0.0216043,0.00042,,,,,,,,,
e_heat_1831,HeatSteelSheet,2023-04-04 08:38:23+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1758,CoatPart,2023-04-04 08:38:25+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1760,CoatPart,2023-04-04 08:38:26+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1836,SplitSteelSheet,2023-04-04 08:38:36+00:00,14.135460935,0.014780469,0.0215958,0.00042,,,,,,,,,
e_heat_1832,HeatSteelSheet,2023-04-04 08:38:38+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1763,CoatPart,2023-04-04 08:38:46+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_1764,FormSteelSheet,2023-04-04 08:38:46+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1759,CoatPart,2023-04-04 08:38:48+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1765,CoatPart,2023-04-04 08:38:50+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1837,SplitSteelSheet,2023-04-04 08:38:50+00:00,14.0792839593,0.0147217818,0.02151,0.00042,,,,,,,,,
e_heat_1833,HeatSteelSheet,2023-04-04 08:38:54+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1766,CoatPart,2023-04-04 08:38:56+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1762,CoatPart,2023-04-04 08:38:57+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_1767,FormSteelSheet,2023-04-04 08:39:04+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_1834,HeatSteelSheet,2023-04-04 08:39:04+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1838,SplitSteelSheet,2023-04-04 08:39:04+00:00,13.8063424031,0.0144365538,0.021093,0.00042,,,,,,,,,
e_form_1769,FormSteelSheet,2023-04-04 08:39:13+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1768,FormSteelSheet,2023-04-04 08:39:15+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1839,SplitSteelSheet,2023-04-04 08:39:19+00:00,13.8760146318,0.0145093998,0.0211995,0.00042,,,,,,,,,
e_coat_1764,CoatPart,2023-04-04 08:39:21+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1835,HeatSteelSheet,2023-04-04 08:39:21+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_heat_1836,HeatSteelSheet,2023-04-04 08:39:33+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1840,SplitSteelSheet,2023-04-04 08:39:33+00:00,14.731155466,0.0154029774,0.0225059,0.00042,,,,,,,,,
e_coat_1767,CoatPart,2023-04-04 08:39:39+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1837,HeatStelSheet,2023-04-04 08:39:47+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1841,SplitSteelSheet,2023-04-04 08:39:47+00:00,14.7155405383,0.0153866982,0.0224821,0.00042,,,,,,,,,
e_coat_1769,CoatPart,2023-04-04 08:39:49+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_1771,FormSteelSheet,2023-04-04 08:39:49+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1768,CoatPart,2023-04-04 08:39:50+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1842,SplitSteelSheet,2023-04-04 08:40:01+00:00,14.0426391362,0.0146834778,0.021454,0.00042,,,,,,,,,
e_heat_1838,HeatSteelSheet,2023-04-04 08:40:02+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1770,FormSteelSheet,2023-04-04 08:40:04+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1843,SplitSteelSheet,2023-04-04 08:40:15+00:00,13.932825248,0.014568771,0.0212863,0.00042,,,,,,,,,
e_heat_1839,HeatSteelSheet,2023-04-04 08:40:16+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1774,FormSteelSheet,2023-04-04 08:40:23+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1771,CoatPart,2023-04-04 08:40:24+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_1772,FormSteelSheet,2023-04-04 08:40:26+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1844,SplitSteelSheet,2023-04-04 08:40:29+00:00,14.1388823577,0.0147840942,0.0216011,0.00042,,,,,,,,,
e_heat_1840,HeatSteelSheet,2023-04-04 08:40:33+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1770,CoatPart,2023-04-04 08:40:40+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1845,SplitSteelSheet,2023-04-04 08:40:43+00:00,14.7581051123,0.0154311582,0.0225471,0.00042,,,,,,,,,
e_heat_1841,HeatSteelSeet,2023-04-04 08:40:44+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1773,FormSteelSheet,2023-04-04 08:40:46+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1774,CoatPart,2023-04-04 08:40:57+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1842,HeatSteelSheet,2023-04-04 08:40:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1846,SplitSteelSheet,2023-04-04 08:40:57+00:00,15.1779939969,0.0158699442,0.0231886,0.00042,,,,,,,,,
e_coat_1772,CoatPart,2023-04-04 08:41:01+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_1775,FormSteelSheet,2023-04-04 08:41:06+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1847,SplitSteelSheet,2023-04-04 08:41:11+00:00,13.7520160459,0.0143797818,0.02101,0.00042,,,,,,,,,
e_heat_1843,HeatSteelSheet,2023-04-04 08:41:13+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1773,CoatPart,2023-04-04 08:41:21+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1848,SplitSteelSheet,2023-04-04 08:41:25+00:00,14.2034441222,0.0148515366,0.0216997,0.00042,,,,,,,,,
e_heat_1844,HeatSteelSheet,2023-04-04 08:41:27+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1776,FormSteelSheet,2023-04-04 08:41:37+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1777,FormSteelSheet,2023-04-04 08:41:39+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1849,SplitSteelSheet,2023-04-04 08:41:39+00:00,14.225167873,0.0148742454,0.0217329,0.00042,,,,,,,,,
e_heat_1845,HeatSteelSheet,2023-04-04 08:41:40+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1775,CoatPart,2023-04-04 08:41:41+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1846,HeatSteelSheet,2023-04-04 08:41:53+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1850,SplitSteelSheet,2023-04-04 08:41:54+00:00,14.158874886,0.0148049562,0.0216316,0.00042,,,,,,,,,
e_heat_1847,HeatSteelSheet,2023-04-04 08:42:06+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1851,SplitSteelSheet,2023-04-04 08:42:08+00:00,14.3531794229,0.0150080358,0.0219285,0.00042,,,,,,,,,
e_coat_1776,CoatPart,2023-04-04 08:42:12+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_1779,FormSteelSheet,2023-04-04 08:42:14+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1777,CoatPart,2023-04-04 08:42:15+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1852,SplitSteelSheet,2023-04-04 08:42:21+00:00,13.7978165692,0.0144276618,0.02108,0.00042,,,,,,,,,
e_heat_1848,HeatSteelSheet,2023-04-04 08:42:22+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1781,FormSteelSheet,2023-04-04 08:42:27+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1853,SplitSteelSheet,2023-04-04 08:42:35+00:00,14.8266725472,0.0155028414,0.0226519,0.00042,,,,,,,,,
e_heat_1849,HeatSteelSheet,2023-04-04 08:42:37+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1778,FormSteelSheet,2023-04-04 08:42:40+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1782,FormSteelSheet,2023-04-04 08:42:42+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1779,CoatPart,2023-04-04 08:42:49+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1854,SplitSteelSheet,2023-04-04 08:42:49+00:00,14.2520269715,0.0149022894,0.0217739,0.00042,,,,,,,,,
e_heat_1850,HeatSteelSheet,2023-04-04 08:42:51+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1781,CoatPart,2023-04-04 08:43:02+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1855,SplitSteelSheet,2023-04-04 08:43:03+00:00,14.2242417799,0.0148732878,0.0217315,0.00042,,,,,,,,,
e_heat_1851,HeatSteelSheet,2023-04-04 08:43:05+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1780,FormSteelSheet,2023-04-04 08:43:08+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1778,CoatPart,2023-04-04 08:43:14+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1852,HeatSteelSheet,2023-04-04 08:43:16+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1856,SplitSteelSheet,2023-04-04 08:43:17+00:00,14.3421961146,0.0149965446,0.0219117,0.00042,,,,,,,,,
e_coat_1782,CoatPart,2023-04-04 08:43:18+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_form_1785,FormSteelSheet,2023-04-04 08:43:24+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1857,SplitSteelSheet,2023-04-04 08:43:31+00:00,14.9368361093,0.0156179586,0.0228202,0.00042,,,,,,,,,
e_form_1783,FormSteelSheet,2023-04-04 08:43:32+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_1853,HeatSteelSheet,2023-04-04 08:43:33+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1786,FormSteelSheet,2023-04-04 08:43:42+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1780,CoatPart,2023-04-04 08:43:43+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1858,SplitSteelSheet,2023-04-04 08:43:45+00:00,14.5021621514,0.0151637142,0.0221561,0.00042,,,,,,,,,
e_heat_1854,HeatSteelSheet,2023-04-04 08:43:48+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1785,CoatPart,2023-04-04 08:43:59+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1859,SplitSteelSheet,2023-04-04 08:44:00+00:00,14.5449660938,0.0152084478,0.0222215,0.00042,,,,,,,,,
e_heat_1855,HeatSteelSheet,2023-04-04 08:44:02+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1787,FormSteelSheet,2023-04-04 08:44:05+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1784,FormSteelSheet,2023-04-04 08:44:06+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1783,CoatPart,2023-04-04 08:44:07+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1856,HeatSteelSheet,2023-04-04 08:44:12+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1860,SplitSteelSheet,2023-04-04 08:44:14+00:00,14.1316022545,0.0147764334,0.0215899,0.00042,,,,,,,,,
e_coat_1786,CoatPart,2023-04-04 08:44:17+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1857,HeatSteelSheet,2023-04-04 08:44:27+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1861,SplitSteelSheet,2023-04-04 08:44:28+00:00,14.2475934142,0.0148977066,0.0217672,0.00042,,,,,,,,,
e_form_1790,FormSteelSheet,2023-04-04 08:44:34+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1788,FormSteelSheet,2023-04-04 08:44:37+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_coat_1787,CoatPart,2023-04-04 08:44:41+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1784,CoatPart,2023-04-04 08:44:41+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1858,HeatSteelSheet,2023-04-04 08:44:41+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1862,SplitSteelSheet,2023-04-04 08:44:42+00:00,13.5666470796,0.014186073,0.0207268,0.00042,,,,,,,,,
e_form_1789,FormSteelSheet,2023-04-04 08:44:45+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1791,FormSteelSheet,2023-04-04 08:44:54+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_1859,HeatSteelSheet,2023-04-04 08:44:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1863,SplitSteelSheet,2023-04-04 08:44:57+00:00,15.2351380984,0.0159296574,0.0232759,0.00042,,,,,,,,,
e_coat_1790,CoatPart,2023-04-04 08:45:09+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1860,HeatSteelSheet,2023-04-04 08:45:10+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1864,SplitSteelSheet,2023-04-04 08:45:11+00:00,13.9995912928,0.014638539,0.0213883,0.00042,,,,,,,,,
e_coat_1788,CoatPart,2023-04-04 08:45:12+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1789,CoatPart,2023-04-04 08:45:20+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1861,HeatSteelSheet,2023-04-04 08:45:23+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_formmale_1603,CuttMalePart,2023-04-04 08:45:26+00:00,10.1260348314,0.0745407296444,0.0154703,,,,,,0.07,0.062,0.062,?,
e_split_1865,SplitSteelSheet,2023-04-04 08:45:26+00:00,14.3839844899,0.0150401838,0.0219755,0.00042,,,,,,,,,
e_coat_1791,CoatPart,2023-04-04 08:45:28+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_formfemale_1491,CuttFemalePart,2023-04-04 08:45:36+00:00,12.4418106089,0.0875018594222,0.0190083,,,,,,0.082,0.076,0.076,0.00254,
e_heat_1862,HeatSteelSheet,2023-04-04 08:45:37+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_form_1793,FormSteelSheet,2023-04-04 08:45:39+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_split_1866,SplitSteelSheet,2023-04-04 08:45:40+00:00,13.6758606602,0.0143002326,0.0208937,0.00042,,,,,,,,,
e_form_1796,FormSteelSheet,2023-04-04 08:45:42+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formmale_1468,CuttMalePart,2023-04-04 08:45:48+00:00,10.1078983748,0.0691318628444,0.0154426,,,,,,0.066,0.062,0.062,?,
e_form_1792,FormSteelSheet,2023-04-04 08:45:48+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_form_1795,FormSteelSheet,2023-04-04 08:45:53+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_1863,HeatSteelSheet,2023-04-04 08:45:53+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1867,SplitSteelSheet,2023-04-04 08:45:54+00:00,14.8909521135,0.0155700102,0.0227501,0.00042,,,,,,,,,
e_form_1794,FormSteelSheet,2023-04-04 08:45:55+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_formfemale_1420,CuttFemalePart,2023-04-04 08:45:58+00:00,12.6425950981,0.0872481061778,0.0193151,,,,,,0.076,0.077,0.077,0.00254,
e_checkMale_1603>true,CheckMalePart,2023-04-04 08:46:03+00:00,?,0.0009747,,,,,,,0.015,,,,
e_heat_1864,HetSteelSheet,2023-04-04 08:46:08+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1868,SplitSteelSheet,2023-04-04 08:46:08+00:00,15.0951891695,0.0157834182,0.0230621,0.00042,,,,,,,,,
e_formmale_1605,CuttMalePart,2023-04-04 08:46:11+00:00,9.95027165162,0.0744444800889,0.0152018,,,,,,0.074,0.061,0.061,?,
e_assembly_989,AssembleHinge,2023-04-04 08:46:13+00:00,5.0,?,,,,,,,,,,,
e_coat_1793,CoatPart,2023-04-04 08:46:14+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_checkFemale_1491>true,CheckFemalePart,2023-04-04 08:46:17+00:00,?,0.0019494,,,,,,,0.03,,,,
e_coat_1796,CoatPart,2023-04-04 08:46:17+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_formfemale_1465,CuttFemalePart,2023-04-04 08:46:21+00:00,12.416950811,0.0896167874222,0.0189703,,,,,,0.09,0.076,0.076,0.00253,
e_heat_1865,HetSteelSheet,2023-04-04 08:46:22+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_coat_1792,CoatPart,2023-04-04 08:46:23+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_split_1869,SplitSteelSheet,2023-04-04 08:46:23+00:00,15.2325971539,0.0159269898,0.023272,0.00042,,,,,,,,,
e_form_1798,FormSteelSheet,2023-04-04 08:46:26+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_checkMale_1468>true,CheckMalePart,2023-04-04 08:46:27+00:00,?,0.00246924,,,,,,,0.038,,,,
e_coat_1795,CoatPart,2023-04-04 08:46:28+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_coat_1794,CoatPart,2023-04-04 08:46:30+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_formmale_1429,CuttMalePart,2023-04-04 08:46:33+00:00,9.96264282732,0.0630893276889,0.0152207,,,,,,0.049,0.061,0.061,?,
e_heat_1866,HeatSteelSheet,2023-04-04 08:46:36+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1870,SplitSteelSheet,2023-04-04 08:46:37+00:00,14.3778112005,0.0150337542,0.0219661,0.00042,,,,,,,,,
e_assembly_1352,AssembleHinge,2023-04-04 08:46:38+00:00,5.0,?,,,,,,,,,,,
e_form_1797,FormSteelSheet,2023-04-04 08:46:38+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_checkFemale_1420>true,CheckFemalePart,2023-04-04 08:46:40+00:00,?,0.00201438,,,,,,,0.031,,,,
e_formfemale_1565,CuttFemalePart,2023-04-04 08:46:43+00:00,12.4670292245,0.0807498218222,0.0190469,,,,,,0.063,0.076,0.076,0.00252,
e_checkMale_1605>true,CheckMalePart,2023-04-04 08:46:50+00:00,?,0.00045486,,,,,,,0.007,,,,
e_split_1871,SplitSteelSheet,2023-04-04 08:46:50+00:00,14.513218133,0.0151752738,0.022173,0.00042,,,,,,,,,
e_form_1800,FormSteelSheet,2023-04-04 08:46:51+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_heat_1867,HetSteelSheet,2023-04-04 08:46:53+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_formmale_1507,CuttMalePart,2023-04-04 08:46:56+00:00,10.0909564561,0.0671305472444,0.0154167,,,,,,0.057,0.062,0.062,?,
e_form_1801,FormSteelSheet,2023-04-04 08:46:59+00:00,5.0,0.0028500228,0.0041667,,,,,,,,,,
e_assembly_1491,AssembleHinge,2023-04-04 08:47:01+00:00,5.0,?,,,,,,,,,,,
e_checkFemale_1465>true,CheckFemalePart,2023-04-04 08:47:01+00:00,?,0.00103968,,,,,,,0.016,,,,
e_coat_1798,CoatPart,2023-04-04 08:47:01+00:00,300.0,0.1751156951,0.25,,,,0.0004,0.0001,,,,,
e_heat_1868,HeatSteelSheet,2023-04-04 08:47:03+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_1872,SplitSteelSheet,2023-04-04 08:47:05+00:00,14.1691937111,0.0148157634,0.0216474,0.00042,,,,,,,,,
e_formfemale_1548,CuttFemalePart,2023-04-04 08:47:06+00:00,12.5466573164,0.0783242317778,0.0191685,,,,,,0.059,0.077,0.077,0.00254,
e_checkMale_1429>true,CheckMalePart,2023-04-04 08:47:13+00:00,?,0.0022743,,,,,,,0.035,,,,
