ocel:oid,ocel:type,m_metadata,p_mass[kg],p_material[EN10130:2006],s_co2e[kg],i_steel-waste[kg],P_electric-from-grid-de[kWh],P_gas-from-grid-de[m3],p_init-len[cm],p_width[cm],i_material-cold-rolled-steel[kg],i_steel-waste-to-recycle[kg],i_material-steel-pin[kg],P_compressed-air[m3]
o_formedpart_3437,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3441,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3444,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3446,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3447,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3445,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3450,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3448,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3449,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3452,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3451,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3454,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3455,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3453,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3458,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3456,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3457,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3459,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3460,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3464,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3461,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3462,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3463,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3465,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3466,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3467,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3469,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3468,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3470,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3473,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3471,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3472,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3474,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3477,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3479,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3478,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3475,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3476,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3482,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3483,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3481,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3480,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3486,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3485,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3484,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3487,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3488,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3489,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3491,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3490,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3493,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3492,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3494,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3495,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3496,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3497,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3498,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3499,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3500,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3501,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3503,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3504,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3502,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3506,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3505,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3508,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3507,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3511,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3509,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3510,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3514,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3512,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3513,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3515,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3517,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3520,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3516,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3519,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3521,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3518,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3524,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3522,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3525,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3523,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3526,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3528,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3527,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3530,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3529,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3532,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3531,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3533,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3534,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3537,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3535,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3536,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3539,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3538,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3540,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3541,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3542,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3544,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3543,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3545,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3548,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3549,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3547,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3546,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3550,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3551,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3552,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3553,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3556,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3554,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3559,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3557,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3555,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3558,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3561,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3560,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3562,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3564,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3565,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3563,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3566,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3567,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3570,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3568,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3571,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3572,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3573,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3569,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3575,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3574,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3576,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3577,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3581,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3578,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3579,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3582,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3580,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3583,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3584,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3587,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3589,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3586,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3588,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3585,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3590,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3591,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3592,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3593,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3594,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3595,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3597,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3596,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3598,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3600,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3599,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3603,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3602,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3601,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3608,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3607,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3604,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3605,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3609,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3610,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3606,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3612,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3614,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3611,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3613,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3615,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3616,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3620,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3617,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3618,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3621,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3622,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3625,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3623,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3624,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3619,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3626,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3627,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3628,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3631,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3629,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3633,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3635,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3630,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3632,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3637,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3634,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3636,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3640,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3643,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3639,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3638,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3642,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3644,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3647,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3641,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3646,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3645,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3649,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3648,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3652,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3651,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3653,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3654,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3650,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3656,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3658,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3657,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3655,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3661,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3660,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3662,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3664,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3663,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3665,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3659,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3666,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3669,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3668,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3667,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3670,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3671,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3672,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3674,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3675,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3673,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3677,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3676,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3680,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3678,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3685,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3687,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3682,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3679,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3681,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3684,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3686,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3688,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3683,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3691,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3690,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3689,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3692,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3694,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3695,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3693,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3696,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3698,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3697,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3700,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3699,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3701,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3702,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3704,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3705,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3707,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3703,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3709,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3706,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3708,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3710,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3711,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3712,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3715,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3714,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3713,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3719,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3717,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3722,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3716,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3721,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3718,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3723,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3725,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3724,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3720,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3726,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3729,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3731,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3728,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3727,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3733,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3732,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3734,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3736,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3730,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3735,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3737,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3739,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3738,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3741,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3740,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3743,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3742,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3744,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3746,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3747,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3745,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3749,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3752,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3748,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3750,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3751,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3753,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3756,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3754,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3757,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3758,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3755,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3759,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3760,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3761,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3762,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3764,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3763,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3766,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3765,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3767,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3768,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3771,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3773,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3774,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3770,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3769,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3772,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3777,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3780,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3776,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3778,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3775,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3781,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3779,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3782,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3783,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3784,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3785,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3787,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3786,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3790,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3788,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3789,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3791,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3793,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3792,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3794,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3795,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3798,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3797,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3796,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3800,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3799,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3803,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3802,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3801,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3806,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3805,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3804,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3808,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3811,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3809,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3807,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3812,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3810,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3814,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3816,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3813,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3815,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3817,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3818,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3820,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3819,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3822,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3821,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3823,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3826,FormedPart,,?,DC01,0.0,,,,,,,,,
o_formedpart_3825,FormedPart,,?,DC01,0.0,,,,,,,,,
